Model,Sampler,Method,AUC,CV,Stability,Kuncheva,Cosine,I,Q,S(α=0.5)
RF,None,SHAP,0.7803542804347352,0.6640263809175296,0.33597361908247036,0.8861111111111111,0.963748750984644,0.7286111603927418,,0.6596096089754921
RF,None,Banzhaf,0.7803542804347352,0.4543002329977739,0.5456997670022261,0.5634259259259259,0.41803644852816263,0.5090540471521048,,0.47245447651179084
RF,None,Myerson,0.7803542804347352,0.5624604730532965,0.4375395269467035,0.7152777777777777,0.7800538012893221,0.6442903686712678,,0.5877327806133865
RF,None,Owen-Domain,0.7803542804347352,0.3734565502374331,0.6265434497625668,0.9430555555555555,0.9508907717951325,0.8401632590377515,2.147538349075645,0.7546989799840671
RF,None,Owen-Data,0.7803542804347352,0.40264678728832654,0.5973532127116734,1.0,0.946150577814118,0.8478345968419304,10.679198163355446,0.7612381907694692
RF,None,Owen-Model,0.7803542804347352,0.3175097702708293,0.6824902297291707,0.2407407407407407,0.4715383889531271,0.4649231198076795,2.964950106985891,0.4348363395678988
RF,None,R-Myerson,0.7803542804347352,0.34923633049936226,0.6507636695006378,1.0,0.9999999999999999,0.8835878898335459,,0.7917150547940268
RF,SMOTE,SHAP,0.7711160733312632,0.6869778526193089,0.3130221473806911,0.7722222222222221,0.9680912594340393,0.6844452096789841,,0.2914443602502289
RF,SMOTE,Banzhaf,0.7711160733312632,0.4777491532450293,0.5222508467549707,0.2217592592592592,0.32131211759693584,0.3551074078703886,,0.010709844237364492
RF,SMOTE,Myerson,0.7711160733312632,0.5930036500997518,0.40699634990024824,0.5064814814814814,0.7465176075051398,0.5533318129622897,,0.17968052455348132
RF,SMOTE,Owen-Domain,0.7711160733312632,0.301743658424011,0.698256341575989,0.5444444444444444,0.9089364007634936,0.7172123955946423,2.147538349075645,0.3193758033722124
RF,SMOTE,Owen-Data,0.7711160733312632,0.3660485948939239,0.6339514051060762,1.0,0.9373163326039745,0.8570892459033501,10.679198163355446,0.438609792477541
RF,SMOTE,Owen-Model,0.7711160733312632,0.24078902339852054,0.7592109766014794,0.2787037037037037,0.7014259492984317,0.5797802098678716,2.194067180152887,0.2022256981224721
RF,SMOTE,R-Myerson,0.7711160733312632,0.22465053469660504,0.775349465303395,1.0,1.0,0.9251164884344649,,0.49659765449272925
RF,SMOTETomek,SHAP,0.7708167250915589,0.6805180035132512,0.3194819964867488,0.8101851851851851,0.9690307185377188,0.6995659667365508,,0.29362376951183305
RF,SMOTETomek,Banzhaf,0.7708167250915589,0.4310457443208675,0.5689542556791325,0.3166666666666666,0.3864394866657837,0.42402013633719426,,0.05874266897699842
RF,SMOTETomek,Myerson,0.7708167250915589,0.5822810017691047,0.4177189982308953,0.4875,0.7726193671247241,0.5592794551185398,,0.17404057643184723
RF,SMOTETomek,Owen-Domain,0.7708167250915589,0.2868112843761383,0.7131887156238617,0.6583333333333332,0.9249414600092506,0.7654878363221485,2.147538349075645,0.3498169670468417
RF,SMOTETomek,Owen-Data,0.7708167250915589,0.3547086639733429,0.6452913360266571,1.0,0.9382488392385145,0.861180058421724,10.679198163355446,0.4313870434540824
RF,SMOTETomek,Owen-Model,0.7708167250915589,0.23558236741322672,0.7644176325867733,0.2787037037037037,0.6649414395082038,0.5693542585995602,2.1175069236550916,0.18262855225374441
RF,SMOTETomek,R-Myerson,0.7708167250915589,0.23581013048300106,0.764189869516999,1.0,1.0,0.921396623172333,,0.4827169183375138
RF,CostSensitive,SHAP,0.7785166800667765,0.6217084509776603,0.37829154902233975,0.8671296296296296,0.9701169667777355,0.7385127151432349,,0.6023056933192878
RF,CostSensitive,Banzhaf,0.7785166800667765,0.4210357581743264,0.5789642418256735,0.35462962962962963,0.35007733046442535,0.42789040063990946,,0.3375246549872014
RF,CostSensitive,Myerson,0.7785166800667765,0.5579699580593895,0.44203004194061046,0.5064814814814814,0.6889384189772373,0.545816647466443,,0.43804748487874545
RF,CostSensitive,Owen-Domain,0.7785166800667765,0.3105170892361595,0.6894829107638405,0.8291666666666666,0.9027734349996912,0.8071410041433993,2.147538349075645,0.6608059000718954
